"Accept_Date"	"Business_Name"	"Start_Date"	"License_Type"	"Activity_Code_1"	"Activity_Code_2"	"Activity_Code_3"	"NAICS_Code"	"Owner_Type"	"Street_Number"	"Street_Direction"	"Street_Name"	"Street_Suffix"	"Suite.Apt_No."	"City"	"State"	"Zip_Code"	"Phone"	"N_U_Q"	"start_to_approved"	"lon"	"lat"
"24"	"2011-01-12"	"BPA GROUP"	"2011-01-01"	"SVL"	NA	NA	NA	NA	"CRP"	18271	NA	"MCDURMOTT STREET WES"	NA	"A"	"IRVINE"	"CA"	"92614"	9499550011	"N"	11	-117.8669321	33.6909647
"25"	"2011-01-12"	"AEROHAWK LLC"	"2011-01-10"	"PLL"	NA	NA	NA	NA	"LLC"	10635	"E"	"CHANNELSIDE"	"DR"	NA	"TUCSON"	"AZ"	"85748"	5205469506	"N"	2	-110.765464	32.225096
"26"	"2011-01-12"	"RECYCLELINK"	"2011-01-17"	"PLL"	NA	NA	NA	NA	"SOL"	1032	"E"	"ALTA VISTA"	NA	NA	"TUCSON"	"AZ"	"85719"	9164028952	"N"	-5	-110.955662	32.256391
"27"	"2011-01-12"	"FRANK JOHNSON AUTOMOTIVE REFINISHING"	"2011-01-01"	"PLL"	17	99	NA	441310	"CRP"	1028	"S"	"CURTIS"	"AV"	NA	"TUCSON"	"AZ"	"85719"	NA	"N"	11	-110.950695	32.208812
"28"	"2011-01-12"	"COMMERCIAL AV SERVICES LLC"	"2011-01-01"	"PLL"	15	17	NA	238990	"LLC"	10524	"N"	"FAIRWAY VISTA"	"LN"	NA	"TUCSON"	"AZ"	"85737"	NA	"N"	11	-110.991	32.397441
"29"	"2011-01-12"	"AQUATIC ENVIRONMENTAL SYSTEMS, INC"	"2011-01-01"	"PLL"	15	99	NA	561790	"CRP"	1733	"E"	"MCKELLIPS"	"RD"	"#108"	"TEMPE"	"AZ"	"85281"	4809473400	"N"	11	-111.7930343	33.4516637
"30"	"2011-01-12"	"THE SUNDT COMPANIES, INC"	"2010-11-01"	"PLL"	15	99	NA	236220	"CRP"	0	NA	"PO BOX 26685"	NA	NA	"TUCSON"	"AZ"	"85726"	5207504600	"N"	72	-110.9384972	32.0757381
"31"	"2011-01-12"	"PIMA COUNTY COMMERCIAL CONSTRUCTION"	"2011-02-01"	"PLL"	NA	NA	NA	NA	"SOL"	2911	"S"	"HOUGHTON"	"RD"	NA	"TUCSON"	"AZ"	"857303116"	NA	"N"	-20	-110.769495	32.187769
"32"	"2011-01-12"	"TAYLOR SUSAN LEE & MICHAEL JEFFREY"	"2009-12-01"	"PLL"	13	99	NA	531120	"PRT"	5601	"E"	"10TH"	"ST"	NA	"TUCSON"	"AZ"	"85711"	NA	"N"	407	-110.872904	32.222899
"33"	"2011-01-12"	"ZEN BEAUTY SPA"	"2011-01-10"	"PLL"	17	99	NA	812112	"SOL"	4262	"N"	"1ST"	"AV"	"130"	"TUCSON"	"AZ"	"85719"	NA	"N"	2	-110.961071	32.2841467
"34"	"2011-01-12"	"CHELSEA LANE BERINGSON"	"2011-01-10"	"PLL"	17	99	NA	812199	"SOL"	3170	"W"	"BAYLEAF"	"DR"	NA	"TUCSON"	"AZ"	"85741"	NA	"N"	2	-111.03394	32.318383
"35"	"2011-01-12"	"BEVERLY JOHNSON LLC"	"2010-01-01"	"PLL"	13	99	NA	531120	"LLC"	0	NA	"PO BOX 40727"	NA	NA	"TUCSON"	"AZ"	"85711"	NA	"N"	376	-110.8653504	32.2192052
"36"	"2011-01-12"	"BEVERLY JOHNSON LLC"	"2010-01-01"	"PLL"	13	99	NA	531120	"LLC"	0	NA	"PO BOX 40727"	NA	NA	"TUCSON"	"AZ"	"85717"	NA	"N"	376	-110.9384972	32.0757381
"37"	"2011-01-12"	"BEVERLY JOHNSON LLC"	"2010-01-01"	"PLL"	13	99	NA	531120	"LLC"	0	NA	"PO BOX 40727"	NA	NA	"TUCSON"	"AZ"	"85717"	NA	"N"	376	-110.9384972	32.0757381
"38"	"2011-01-12"	"SOCIAL SCIENCE JUNK SHOP"	"2011-01-01"	"PLL"	17	99	NA	442110	"LLC"	43	"S"	"6TH"	"AV"	NA	"TUCSON"	"AZ"	"85701"	NA	"N"	11	-110.9683845	32.2214153
"39"	"2011-01-12"	"LORNA'S CREATIONS"	"2011-01-01"	"PLL"	17	99	NA	454390	"SOL"	9771	"E"	"ROCK RIDGE"	"CT"	NA	"TUCSON"	"AZ"	"85749"	NA	"N"	11	-110.783859	32.250907
"40"	"2011-01-12"	"BOB'S AIR-CO"	"2011-01-07"	"PLL"	15	99	NA	238220	"SOL"	1019	"S"	"130TH"	"ST"	NA	"GILBERT"	"AZ"	"85233"	NA	"N"	5	-111.802077	33.331468
"41"	"2011-01-12"	"CARLY QUINN DESIGNS"	"2011-01-07"	"PLL"	17	99	NA	711510	"SOL"	403	"N"	"6TH"	"AVE"	"STE 135"	"TUCSON"	"AZ"	"857058326"	NA	"N"	5	-110.9688321	32.2265903
"42"	"2011-01-12"	"CAREFREE COW"	"2011-01-07"	"PLL"	17	99	NA	454111	"SOL"	7637	"E"	"DESERT OVERLOOK"	"DR"	NA	"TUCSON"	"AZ"	"857108165"	NA	"N"	5	-110.829431	32.207138
"43"	"2011-01-12"	"DIAMOND CARPET CLEANING"	"2011-01-10"	"SVL"	NA	NA	NA	NA	"PRT"	4027	"E"	"DREXEL"	"RD"	NA	"TUCSON"	"AZ"	"85706"	NA	"N"	2	-110.906258	32.1492239
"44"	"2011-01-12"	"FAST TAX"	"2011-01-02"	"SVL"	NA	NA	NA	NA	"LLC"	6477	"E"	"22ND"	"ST"	NA	"TUCSON"	"AZ"	"857105115"	NA	"N"	10	-110.8539136	32.2067602
"45"	"2011-01-12"	"ANTHONY'S K-9 ACADEMY LLC"	"2010-11-01"	"PLL"	NA	NA	NA	NA	"LLC"	2901	"W"	"AVENIDA CRESTA"	NA	NA	"TUCSON"	"AZ"	"85745"	5203904487	"N"	72	-111.02939	32.251473
"46"	"2011-01-12"	"D & L TOOLS"	"2011-02-07"	"PLL"	NA	NA	NA	NA	"PRT"	9	"W"	"ANDREW POTTER"	"ST"	NA	"CORONA DE TUCSO"	"AZ"	"85641"	5207303049	"N"	-26	-110.773252	31.952458
"47"	"2011-01-12"	"HENRY SCHEIN, INC."	"2010-12-01"	"PLL"	17	99	NA	423450	"CRP"	135	NA	"DURYEA ROAD"	NA	NA	"MELVILLE"	"NY"	"11747"	NA	"N"	42	-73.4175771	40.7677654
"48"	"2011-01-12"	"VALLEY TRUCK AND TRAILER SERVICE"	"2011-01-01"	"SVL"	99	98	NA	811111	"CRP"	5228	"N"	"TOM MURRAY"	"AVE"	NA	"GLENDALE"	"AZ"	"85301"	6239379454	"N"	11	-112.1601039	33.5139481
"49"	"2011-01-12"	"MEP TRADING LLC"	"2011-01-01"	"PLL"	17	99	NA	454390	"LLC"	1280	"E"	"ELLIS"	"RD"	NA	"TUCSON"	"AZ"	"85719"	NA	"N"	11	-110.952866	32.274518
"50"	"2011-01-12"	"BAER WORKS LLC"	"2011-01-01"	"PLL"	15	99	NA	236118	"LLC"	2917	"W"	"PLAZA"	"DR"	"North"	"TUCSON"	"AZ"	"85716"	NA	"N"	11	-110.932084	32.260139
"51"	"2011-01-12"	"MARTINEZ SIGNS"	"2011-01-10"	"PLL"	NA	NA	NA	NA	"MAR"	1625	"W"	"FT LOWELL"	"RD"	"26"	"TUCSON"	"AZ"	"85705"	NA	"N"	2	-110.999962	32.264058
"52"	"2011-01-12"	"FOR KIDS & MORE"	"2011-01-01"	"PLL"	17	99	NA	454390	"PRT"	6960	"E"	"OBERLIN"	"DR"	NA	"TUCSON"	"AZ"	"85710"	NA	"N"	11	-110.843676	32.211739
"53"	"2011-01-12"	"CRUISE CAB"	"2011-01-11"	"SVL"	98	99	NA	485310	"SOL"	1090	"N"	"CARIBE"	"AV"	NA	"TUCSON"	"AZ"	"85701"	NA	"N"	1	-110.845515	32.234959
"54"	"2011-01-12"	"VERIZON WIRELESS"	"2011-01-01"	"PLL"	5	98	20	517110	"CRP"	0	NA	"PO BOX 867"	NA	NA	"MONSEY"	"NY"	"10952"	8453568390	"N"	11	-74.062016	41.1160743
"55"	"2011-01-12"	"CLARION ASSOCIATES"	"2010-01-01"	"SVL"	99	98	NA	541330	"LLC"	621	NA	"17TH"	"ST"	"2250"	"DENVER"	"CO"	"80293"	3038302890	"N"	376	-104.9899195	39.7457974
"56"	"2011-01-12"	"JUST ADD WATER CAFE"	"2011-02-01"	"PLL"	NA	NA	NA	NA	"LLC"	3073	"N"	"CAMPBELL"	"AV"	NA	"TUCSON"	"AZ"	"85719"	NA	"N"	-20	-110.944678	32.2627946
"57"	"2011-01-12"	"PARADICE EXPOSITION SERVICES"	"2011-01-06"	"SVL"	NA	NA	NA	NA	"SOL"	262	NA	"RONNIE"	"RD"	NA	"GOLDEN"	"CO"	"80403"	NA	"N"	6	-105.401732	39.918712
"58"	"2011-01-12"	"ARCOLA, LLC"	"2010-12-22"	"PLL"	13	99	NA	531120	"LLC"	820	"E"	"47TH"	"ST"	"SUITE B2"	"TUCSON"	"AZ"	"85713"	5203220213	"N"	21	-110.957157	32.179594
"59"	"2011-01-12"	"BOB AND JEANNIES ARTISTIC DESIGNS"	"2011-01-10"	"PLL"	17	99	NA	541430	"MAR"	6170	"W"	"DESERT MARIGOLD"	"LN"	NA	"TUCSON"	"AZ"	"85742"	NA	"N"	2	-111.096904	32.405969
"60"	"2011-01-12"	"YURICK'S ART"	"2011-01-10"	"PLL"	17	99	NA	454390	"SOL"	428	"E"	"ROGER"	"RD"	NA	"TUCSON"	"AZ"	"85705"	NA	"N"	2	-110.964125	32.279009
"61"	"2011-01-12"	"VIDASSAGE LLC"	"2011-01-07"	"PLL"	NA	NA	NA	NA	"LLC"	3023	"E"	"17TH"	"ST"	NA	"TUCSON"	"AZ"	"85716"	5209773469	"N"	5	-110.927584	32.213902
"62"	"2011-01-19"	"COINSTAR, INC"	"2010-09-02"	"SVL"	99	NA	NA	522320	"CRP"	1800	"SE"	"114TH"	"AVE"	NA	"BELLEVUE"	"WA"	"98004"	4259438000	"N"	139	-122.189776	47.5960342
"63"	"2011-01-19"	"PROOH BEAR ORIGINALS"	"2011-01-05"	"PLL"	17	99	NA	481111	"SOL"	7496	"W"	"MYSTIC SKY"	"LN"	NA	"TUCSON"	"AZ"	"85743"	NA	"N"	14	-111.129724	32.384915
"64"	"2011-01-19"	"HECHO A MANO"	"2011-01-15"	"PLL"	NA	NA	NA	NA	"SOL"	5255	"S"	"6TH"	"AV"	NA	"TUCSON"	"AZ"	"85706"	NA	"N"	4	-110.967727	32.156305
"65"	"2011-01-19"	"IN HOPES OF HEALING"	"2011-01-05"	"SVL"	NA	NA	NA	NA	"PRT"	2810	"N"	"WINSTEL"	"BL"	NA	"TUCSON"	"AZ"	"85716"	NA	"N"	14	-110.911685	32.25819
"66"	"2011-01-19"	"LASER BELLA"	"2011-01-01"	"SVL"	NA	NA	NA	NA	"LLC"	1661	"W"	"PRINCE"	"RD"	NA	"TUCSON"	"AZ"	"85705"	NA	"N"	18	-111.00128	32.271725
"67"	"2011-01-19"	"EZ CELLULAR"	"2011-01-05"	"PLL"	17	99	NA	443112	"SOL"	2221	"W"	"NEBRASKA"	"ST"	NA	"TUCSON"	"AZ"	"85713"	NA	"N"	14	-111.014545	32.155416
"68"	"2011-01-19"	"UNIVERSAL JANITORIAL SERVICE"	"2011-01-05"	"SVL"	NA	NA	NA	NA	"SOL"	3932	"S"	"LUNDY"	"AV"	NA	"TUCSON"	"AZ"	"85714"	NA	"N"	14	-110.975078	32.176501
"69"	"2011-01-19"	"ONYX I"	"2011-02-01"	"PLL"	NA	NA	NA	NA	"LLC"	106	"W"	"DRACHMAN"	"ST"	NA	"TUCSON"	"AZ"	"85705"	NA	"N"	-13	-110.9736558	32.2396432
"70"	"2011-01-19"	"WOMEN'S EMPOWERMENT PARTNERSHIP, INC"	"2006-01-01"	"PLL"	15	NA	NA	236220	"CRP"	7300	"E"	"SCOUT"	"AV"	"E"	"BELL GARDENS"	"CA"	"90201"	5629271205	"N"	1844	-118.1406	33.963533
"71"	"2011-01-19"	"ASAP RENOVATION"	"2011-03-01"	"PLL"	NA	NA	NA	NA	"SOL"	11076	"W"	"COPPERTAIL"	"DR"	NA	"MARANA"	"AZ"	"85653"	NA	"N"	-41	-111.201375	32.4293819
"72"	"2011-01-19"	"RC INTERIOR DESIGN GROUP, INC."	"2010-12-14"	"PLL"	17	99	NA	442299	"CRP"	3527	"N"	"24TH"	"ST"	NA	"PHOENIX"	"AZ"	"85016"	6026675632	"N"	36	-112.029918	33.489787
"73"	"2011-01-19"	"ELECTRUM PARTNERS LLC"	"2010-09-23"	"PLL"	13	99	NA	531120	"LLC"	1815	"E"	"WINSETT"	"ST"	NA	"TUCSON"	"AZ"	"85719"	NA	"N"	118	-110.9448268	32.2147226
"74"	"2011-01-19"	"MICHE BAG VAIL, AZ"	"2011-01-03"	"PLL"	17	99	NA	448150	"SOL"	381	"N"	"SHARON"	"RD"	NA	"VAIL"	"AZ"	"85641"	5207628957	"N"	16	-110.697449	31.969969
"75"	"2011-01-19"	"FAMILY HOME CARE"	"2011-01-03"	"SVL"	NA	NA	NA	NA	"CRP"	1616	"E"	"MAIN"	"ST"	"STE 220"	"MESA"	"AZ"	"85203"	4806440084	"N"	16	-111.7959868	33.4157151
"76"	"2011-01-19"	"TUCSON MEDITATION GROUP"	"2011-01-01"	"PLL"	17	99	NA	451211	"SOL"	13262	"N"	"HAMMERSTONE"	"LN"	NA	"ORO VALLEY"	"AZ"	"85755"	5208186576	"N"	18	-110.938208	32.446662
"77"	"2011-01-19"	"HEALING SPIRIT MEDICINE"	"2011-01-03"	"SVL"	NA	NA	NA	NA	"SOL"	2531	"E"	"22ND"	"ST"	NA	"TUCSON"	"AZ"	"85713"	NA	"N"	16	-110.93427	32.207226
"78"	"2011-01-19"	"RUSHMORE REMODELING COMPANY"	"2011-01-17"	"PLL"	NA	NA	NA	NA	"SOL"	6701	"N"	"SESAME"	"LN"	NA	"TUCSON"	"AZ"	"857041248"	NA	"N"	2	-111.004844	32.328218
"79"	"2011-01-19"	"REACTIVATE LLC"	"2011-02-01"	"PLL"	NA	NA	NA	NA	"LLC"	0	NA	"PO BOX 85428"	NA	NA	"TUCSON"	"AZ"	"85728"	5205913919	"N"	-13	-110.9384972	32.0757381
"80"	"2011-01-19"	"THE MOBILE SOLUTION"	"2011-01-01"	"SVL"	NA	NA	NA	NA	"SOL"	4741	"W"	"CAMINO ELARIO"	NA	NA	"TUCSON"	"AZ"	"857579316"	NA	"N"	18	-111.066462	32.122873
"81"	"2011-01-19"	"NAKWON CONSTRUCTION"	"2011-01-06"	"PLL"	15	99	NA	236220	"CRP"	7934	"E"	"6TH"	"AV"	NA	"MESA"	"AZ"	"85208"	NA	"N"	13	-111.659167	33.409249
"82"	"2011-01-19"	"DANIEL F KELLEHER AUCTION LLC"	"2011-01-14"	"PLL"	NA	NA	NA	NA	"LLL"	4	NA	"FINANCE"	"DR"	"200"	"DANBURY"	"CT"	"06810"	2032976056	"N"	5	-73.4214966	41.4104477
"83"	"2011-01-19"	"CRYSTAL RAE ASHFORD-OLIVER"	"2011-01-06"	"SVL"	99	98	NA	999999	"SOL"	8488	"E"	"VIA CORTINA DE MADER"	NA	NA	"TUCSON"	"AZ"	"85747"	NA	"N"	13	-110.81168	32.11681
"84"	"2011-01-19"	"INSTITUTE OF MOSAIC ART LLC"	"2011-01-17"	"PLL"	NA	NA	NA	NA	"LLC"	220	"E"	"6TH"	"ST"	NA	"TUCSON"	"AZ"	"85705"	NA	"N"	2	-110.9681426	32.2277065
"85"	"2011-01-19"	"BPA GROUP"	"2011-01-01"	"SVL"	NA	NA	NA	NA	"CRP"	18271	NA	"MCDURMOTT STREET WES"	NA	"A"	"IRVINE"	"CA"	"92614"	9499550011	"N"	18	-117.8669321	33.6909647
"86"	"2011-01-19"	"AEROHAWK LLC"	"2011-01-10"	"PLL"	NA	NA	NA	NA	"LLC"	10635	"E"	"CHANNELSIDE"	"DR"	NA	"TUCSON"	"AZ"	"85748"	5205469506	"N"	9	-110.765464	32.225096
"87"	"2011-01-19"	"RECYCLELINK"	"2011-01-17"	"PLL"	NA	NA	NA	NA	"SOL"	1032	"E"	"ALTA VISTA"	NA	NA	"TUCSON"	"AZ"	"85719"	9164028952	"N"	2	-110.955662	32.256391
"88"	"2011-01-19"	"FRANK JOHNSON AUTOMOTIVE REFINISHING"	"2011-01-01"	"PLL"	17	99	NA	441310	"CRP"	1028	"S"	"CURTIS"	"AV"	NA	"TUCSON"	"AZ"	"85719"	NA	"N"	18	-110.950695	32.208812
"89"	"2011-01-19"	"COMMERCIAL AV SERVICES LLC"	"2011-01-01"	"PLL"	15	17	NA	238990	"LLC"	10524	"N"	"FAIRWAY VISTA"	"LN"	NA	"TUCSON"	"AZ"	"85737"	NA	"N"	18	-110.991	32.397441
"90"	"2011-01-19"	"AQUATIC ENVIRONMENTAL SYSTEMS, INC"	"2011-01-01"	"PLL"	15	99	NA	561790	"CRP"	1733	"E"	"MCKELLIPS"	"RD"	"#108"	"TEMPE"	"AZ"	"85281"	4809473400	"N"	18	-111.7930343	33.4516637
"91"	"2011-01-19"	"THE SUNDT COMPANIES, INC"	"2010-11-01"	"PLL"	15	99	NA	236220	"CRP"	0	NA	"PO BOX 26685"	NA	NA	"TUCSON"	"AZ"	"85726"	5207504600	"N"	79	-110.9384972	32.0757381
"92"	"2011-01-19"	"PIMA COUNTY COMMERCIAL CONSTRUCTION"	"2011-02-01"	"PLL"	NA	NA	NA	NA	"SOL"	2911	"S"	"HOUGHTON"	"RD"	NA	"TUCSON"	"AZ"	"857303116"	NA	"N"	-13	-110.769495	32.187769
"93"	"2011-01-19"	"TAYLOR SUSAN LEE & MICHAEL JEFFREY"	"2009-12-01"	"PLL"	13	99	NA	531120	"PRT"	5601	"E"	"10TH"	"ST"	NA	"TUCSON"	"AZ"	"85711"	NA	"N"	414	-110.872904	32.222899
"94"	"2011-01-19"	"ZEN BEAUTY SPA"	"2011-01-10"	"PLL"	17	99	NA	812112	"SOL"	4262	"N"	"1ST"	"AV"	"130"	"TUCSON"	"AZ"	"85719"	NA	"N"	9	-110.961071	32.2841467
"95"	"2011-01-19"	"CHELSEA LANE BERINGSON"	"2011-01-10"	"PLL"	17	99	NA	812199	"SOL"	3170	"W"	"BAYLEAF"	"DR"	NA	"TUCSON"	"AZ"	"85741"	NA	"N"	9	-111.03394	32.318383
"96"	"2011-01-19"	"BEVERLY JOHNSON LLC"	"2010-01-01"	"PLL"	13	99	NA	531120	"LLC"	0	NA	"PO BOX 40727"	NA	NA	"TUCSON"	"AZ"	"85711"	NA	"N"	383	-110.8653504	32.2192052
"97"	"2011-01-19"	"BEVERLY JOHNSON LLC"	"2010-01-01"	"PLL"	13	99	NA	531120	"LLC"	0	NA	"PO BOX 40727"	NA	NA	"TUCSON"	"AZ"	"85717"	NA	"N"	383	-110.9384972	32.0757381
"98"	"2011-01-19"	"BEVERLY JOHNSON LLC"	"2010-01-01"	"PLL"	13	99	NA	531120	"LLC"	0	NA	"PO BOX 40727"	NA	NA	"TUCSON"	"AZ"	"85717"	NA	"N"	383	-110.9384972	32.0757381
"99"	"2011-01-19"	"SOCIAL SCIENCE JUNK SHOP"	"2011-01-01"	"PLL"	17	99	NA	442110	"LLC"	43	"S"	"6TH"	"AV"	NA	"TUCSON"	"AZ"	"85701"	NA	"N"	18	-110.9683845	32.2214153
"100"	"2011-01-19"	"LORNA'S CREATIONS"	"2011-01-01"	"PLL"	17	99	NA	454390	"SOL"	9771	"E"	"ROCK RIDGE"	"CT"	NA	"TUCSON"	"AZ"	"85749"	NA	"N"	18	-110.783859	32.250907
"101"	"2011-01-19"	"BOB'S AIR-CO"	"2011-01-07"	"PLL"	15	99	NA	238220	"SOL"	1019	"S"	"130TH"	"ST"	NA	"GILBERT"	"AZ"	"85233"	NA	"N"	12	-111.802077	33.331468
"102"	"2011-01-19"	"CARLY QUINN DESIGNS"	"2011-01-07"	"PLL"	17	99	NA	711510	"SOL"	403	"N"	"6TH"	"AVE"	"STE 135"	"TUCSON"	"AZ"	"857058326"	NA	"N"	12	-110.9688321	32.2265903
"103"	"2011-01-19"	"CAREFREE COW"	"2011-01-07"	"PLL"	17	99	NA	454111	"SOL"	7637	"E"	"DESERT OVERLOOK"	"DR"	NA	"TUCSON"	"AZ"	"857108165"	NA	"N"	12	-110.829431	32.207138
"104"	"2011-01-19"	"DIAMOND CARPET CLEANING"	"2011-01-10"	"SVL"	NA	NA	NA	NA	"PRT"	4027	"E"	"DREXEL"	"RD"	NA	"TUCSON"	"AZ"	"85706"	NA	"N"	9	-110.906258	32.1492239
"105"	"2011-01-19"	"FAST TAX"	"2011-01-02"	"SVL"	NA	NA	NA	NA	"LLC"	6477	"E"	"22ND"	"ST"	NA	"TUCSON"	"AZ"	"857105115"	NA	"N"	17	-110.8539136	32.2067602
"106"	"2011-01-19"	"ANTHONY'S K-9 ACADEMY LLC"	"2010-11-01"	"PLL"	NA	NA	NA	NA	"LLC"	2901	"W"	"AVENIDA CRESTA"	NA	NA	"TUCSON"	"AZ"	"85745"	5203904487	"N"	79	-111.02939	32.251473
"107"	"2011-01-19"	"D & L TOOLS"	"2011-02-07"	"PLL"	NA	NA	NA	NA	"PRT"	9	"W"	"ANDREW POTTER"	"ST"	NA	"CORONA DE TUCSO"	"AZ"	"85641"	5207303049	"N"	-19	-110.773252	31.952458
