"Activity_Code_1","Accept_Date","Business_Name","Start_Date","License_Type","Activity_Code_2","Activity_Code_3","NAICS_Code","Owner_Type","Street_Number","Street_Direction","Street_Name","Street_Suffix","Suite.Apt_No.","City","State","Zip_Code","Phone","N_U_Q","start_to_approved","lon","lat","activity_category","dist_to_closest_stop","closest_stop"
1,2011-06-29,"ALLOW US MOVING SYSTEMS","2011-01-14","PLL",99,NA,484110,"SOL",5270,"S","BANTAM","RD",NA,"TUCSON","AZ",857061986,NA,"N",166,-110.9163434,32.1566231,"Transportation",1.76047466189236,"HEWA(SE)"
1,2013-10-09,"AZGTRANSPO SERVICE LLC","2013-10-03","PLL",99,NA,485320,"LLC",1225,"N","DODGE","BLVD",NA,"TUCSON","AZ",85716,NA,"N",6,-110.9139899,32.2387144,"Transportation",1.89642892503155,"HEWA(SE)"
1,2013-04-17,"JORDAN TRANSPORTATION","2013-04-12","PLL",99,NA,485310,"SOL",730,"E","GLENN","RD",NA,"TUCSON","AZ",85719,NA,"N",5,-110.9603136,32.2572368,"Transportation",0.1213346398421,"UNTY(CR)"
1,2013-07-10,"PUEBLO TRANSPORTATION LLC","2013-07-05","PLL",99,NA,485999,"LLC",1579,"W","GAFFER","PL",NA,"TUCSON","AZ",85746,NA,"N",5,-110.999392,32.141529,"Transportation",0.825196430579098,"COCN(SE)"
1,2014-11-12,"US EXPRESS TRANSPORTATION","2014-11-10","SVL",99,98,485320,"LLC",3810,"N","ROMERO","RD","#15","TUCSON","AZ",85705,NA,"N",2,-111.000208,32.2769876,"Transportation",0.871636411732163,"COCN(SE)"
1,2012-01-25,"TOWN CARS LTD","2012-01-19","PLL",99,NA,485320,"SOL",5387,"E","FRANCISCO LOOP",NA,NA,"TUCSON","AZ",857121385,5202993892,"N",6,-110.877899,32.2602537,"Transportation",4.00468122215565,"HEWA(SE)"
1,2013-09-11,"AQUINOGONZ TRANSPORTATION","2013-09-05","PLL",99,NA,485320,"SOL",2103,"S","KELVIN","STRA",NA,"TUCSON","AZ",85713,NA,"N",6,-110.921139,32.197865,"Transportation",1.47929007328299,"HEWA(SE)"
1,2013-09-18,"BLACK AND WHITE CAB COMPANY","2013-09-11","PLL",99,NA,485320,"SOL",602,"E","KELSO","ST","#108","TUCSON","AZ",857054783,NA,"N",7,-110.961875,32.255611,"Transportation",0.148880958702186,"UN3A(CR)"
1,2012-09-19,"1-KUTRANG GROUPS MEDICOL TRANSPORTATION","2012-09-17","PLL",99,NA,621910,"SOL",5220,"E","BELLEVUE","ST","104","TUCSON","AZ",85712,NA,"N",2,-110.881042,32.237521,"Transportation",3.8220001343254,"HEWA(SE)"
1,2013-09-25,"SAFECO TRANSPORTATION","2013-09-19","PLL",99,NA,485999,"SOL",3727,"E","5TH","ST","114","TUCSON","AZ",85716,NA,"N",6,-110.912145,32.2294204,"Transportation",2.00445245689575,"HEWA(SE)"
1,2013-04-03,"NICE AUTO TRANSPORT","2013-04-01","PLL",NA,NA,999999,"SOL",6640,"E","WRIGLEY","WAY",NA,"TUCSON","AZ",85756,NA,"N",2,-110.850725,32.106875,"Transportation",5.60182024734399,"HEWA(SE)"
1,2013-08-14,"LEND A HAND","2013-08-07","PLL",99,NA,624120,"SOL",4431,"E","3RD","ST","8","TUCSON","AZ",85711,NA,"N",7,-110.897961,32.233054,"Transportation",2.83335660691408,"HEWA(SE)"
1,2012-03-07,"AC SHUTTLE","2012-03-01","PLL",99,NA,485999,"SOL",4115,"S","6TH","AV",NA,"TUCSON","AZ",85714,NA,"N",6,-110.967903,32.1744083,"Transportation",0.0262587412704052,"BR6A(SE)"
1,2012-01-11,"ROAMING MED TRANS","2012-01-04","PLL",99,NA,485999,"SOL",1116,"S","11TH","AVE","UNIT 2","TUCSON","AZ",857013323,NA,"N",7,-110.9762088,32.207043,"Transportation",0.0361176718446015,"COGN(SE)"
1,2013-01-09,"RACER TRUCKING LLC","2012-12-03","PLL",99,NA,488490,"LLC",1802,"W","GRANT","RD","110","TUCSON","AZ",85745,NA,"N",37,-111.00421,32.251108,"Transportation",1.10573551902576,"COCN(SE)"
1,2013-09-18,"BIG FROG'S TRANSPORTATION","2013-09-13","PLL",99,NA,485999,"SOL",933,"N","MAIN","ST",NA,"TUCSON","AZ",85705,NA,"N",5,-110.97832,32.233737,"Transportation",0.04552833650146,"GRCU(WB)"
1,2013-02-06,"LIBRE TAXI COMPANY SERVICE","2013-01-31","PLL",99,NA,485310,"SOL",1064,"W","SIMMONS","ST",NA,"TUCSON","AZ",85705,NA,"N",6,-110.989926,32.275524,"Transportation",0.270999702097706,"COCN(SE)"
1,2013-09-11,"SZARKA LASZLO","2013-09-05","PLL",99,NA,485320,"SOL",4315,"N","FLOWING WELLS","RD","LOT 46","TUCSON","AZ",85705,NA,"N",6,-110.99617,32.285731,"Transportation",0.635688268568611,"COCN(SE)"
5,2012-10-03,"BEAR CANYON MAIL DEPOT","2012-09-25","PLL",99,17,517110,"LLC",8987,"E","TANQUE VERDE","RD",NA,"TUCSON","AZ",85749,NA,"N",8,-110.7998162,32.2600152,"Communications",8.56688822303655,"HEWA(SE)"
5,2014-07-09,"NETLINK TO COMMUNICATIONS","2014-05-01","PLL",99,20,517210,"SOL",4225,"N","1ST","AVE","406","TUCSON","AZ",85719,NA,"N",69,-110.9613672,32.2835406,"Communications",0.178497025765024,"UN3A(CR)"
5,2012-05-02,"EC WIRELESS LLC","2012-05-01","PLL",99,20,517210,"LLC",5452,"S","12TH","AVE","180","TUCSON","AZ",85706,NA,"N",1,-110.9780843,32.1524473,"Communications",0.0317813210988849,"GRCU(WB)"
5,2012-08-08,"RODEWAY INN","2012-07-24","PLL",22,18,517110,"LLC",1031,"E","BENSON","HY",NA,"TUCSON","AZ",85713,NA,"N",15,-110.953868,32.181028,"Communications",0.100641444798428,"2SOL(CR)"
9,2011-07-13,"BREAKAWAY MEDIA","2011-07-09","PLL",NA,NA,511130,"SOL",4950,"E","COPPER","ST",NA,"TUCSON","AZ",857122026,5203200858,"N",4,-110.886319,32.2544449,"Publishing",3.51294621884929,"HEWA(SE)"
9,2012-09-19,"BREAKAWAY MEDIA LLC","2012-09-01","PLL",99,NA,511130,"LLC",4950,"E","COPPER","ST",NA,"TUCSON","AZ",85712,NA,"N",18,-110.886319,32.2544449,"Publishing",3.51294621884929,"HEWA(SE)"
9,2011-05-18,"TRES CLAVAS PRESS","2011-05-01","PLL",99,NA,511130,"SOL",626,"N","6TH","AV",NA,"TUCSON","AZ",85705,NA,"N",17,-110.968254,32.22996,"Publishing",0.0057278079976704,"BR6A(SE)"
9,2014-08-20,"FORTE COMMUNICATIONS, INC.","2009-10-01","PLL",99,NA,511120,"CRP",7349,"E","TANQUE VERDE","RD",NA,"TUCSON","AZ",85715,NA,"N",1784,-110.835604,32.251586,"Publishing",6.47649165359005,"HEWA(SE)"
9,2012-09-19,"EMEGABOOK LLC","2012-09-01","PLL",99,NA,511210,"LLC",4950,"E","COPPER","ST",NA,"TUCSON","AZ",85712,NA,"N",18,-110.886319,32.2544449,"Publishing",3.51294621884929,"HEWA(SE)"
9,2011-07-19,"BREAKAWAY MEDIA","2011-07-09","PLL",NA,NA,511130,"SOL",4950,"E","COPPER","ST",NA,"TUCSON","AZ",857122026,5203200858,"N",10,-110.886319,32.2544449,"Publishing",3.51294621884929,"HEWA(SE)"
10,2011-02-16,"BRADFORD KENNEDY EVENTS AND MARKETING LL","2011-02-15","PLL",99,17,541613,"LLC",2200,"E","RIVER","RD","STE 120","TUCSON","AZ",857186578,NA,"N",1,-110.9388481,32.2862617,"Job Printing",0.443448821420176,"HEWA(SE)"
10,2012-10-03,"FLEX 520","2012-09-02","PLL",99,NA,323113,"SOL",5343,"S","CASSIA","WY",NA,"TUCSON","AZ",85706,NA,"N",31,-110.935473,32.154261,"Job Printing",0.641521834992055,"HEWA(SE)"
11,2012-08-08,"NICO'S MEXICAN FOOD","2012-08-01","PLL",99,NA,722110,"SOL",3225,"N","SWAN","RD","13","TUCSON","AZ",85712,NA,"N",7,-110.8937457,32.2658689,"Restaurants",3.07860725963192,"HEWA(SE)"
11,2012-08-29,"TAPAS FUSION LLC","2012-08-01","PLL",99,NA,722110,"LLC",2970,"N","CAMPBELL","AV",NA,"TUCSON","AZ",85719,NA,"N",28,-110.9438179,32.2604822,"Restaurants",0.153202439086487,"HEWA(SE)"
11,2014-02-12,"DOUBLE D'S","2014-02-05","PLL",99,NA,454390,"SOL",6613,"E","CALLE MERCURIO",NA,NA,"TUCSON","AZ",85710,NA,"N",7,-110.8509286,32.1939188,"Restaurants",5.58456933678346,"HEWA(SE)"
11,2013-10-02,"FOOD FOR ASCENSION CAFE","2013-10-01","PLL",99,NA,722211,"LLC",330,"E","7TH","ST",NA,"TUCSON","AZ",85705,NA,"N",1,-110.966137,32.226222,"Restaurants",0.0139109629795485,"TOCO(SE)"
11,2011-09-21,"JOEL","2011-09-15","PLL",99,NA,722110,"CRP",806,"E","UNIVERSITY","BL",NA,"TUCSON","AZ",85719,5204031183,"N",6,-110.9589497,32.2313173,"Restaurants",0.0416545692822762,"UNTY(CR)"
11,2013-07-10,"DAQU PARK PLACE LLC","2013-05-21","PLL",99,NA,722211,"LLC",4500,"N","ORACLE","RD","FC-08","TUCSON","AZ",85705,NA,"N",50,-110.9923904,32.2680738,"Restaurants",0.414998352661512,"COCN(SE)"
11,2015-01-28,"JMB'S SANTA MARIA STYLE BBQ LLC","2015-01-21","PLL",99,NA,722330,"LLC",5450,"S","ARCADIA","AVE","100","TUCSON","AZ",85706,NA,"N",7,-110.8883889,32.1531936,"Restaurants",3.39577677414206,"HEWA(SE)"
11,2014-06-18,"TANYA'S RESTAURANT AND BAKERY LLC","2014-06-01","PLL",99,NA,722211,"LLC",2526,"E","6TH","ST",NA,"TUCSON","AZ",857164404,NA,"N",17,-110.9348682,32.2278957,"Restaurants",0.676352592600656,"HEWA(SE)"
11,2014-11-26,"MLT SONORAN GRILL LLC","2014-11-20","PLL",99,NA,722330,"LLC",4711,"S","WARREN","AVE",NA,"TUCSON","AZ",85714,NA,"N",6,-110.945162,32.166106,"Restaurants",0.0747477286994452,"HEWA(SE)"
11,2013-02-13,"FALORA PIZZERIA AND ESPRESSO","2013-02-01","PLL",99,NA,722110,"LLC",5120,"E","LEE","ST",NA,"TUCSON","AZ",85712,NA,"N",12,-110.883308,32.241359,"Restaurants",3.68941433996653,"HEWA(SE)"
11,2012-05-02,"KENNEY D'S EAST LLC","2012-05-01","PLL",99,NA,722211,"LLC",2072,"N","WATER VIEW","CT",NA,"TUCSON","AZ",85749,NA,"N",1,-110.783949,32.247391,"Restaurants",9.49529184869744,"HEWA(SE)"
11,2013-02-27,"D'S ISLAND GRILL JA","2013-02-25","PLL",99,NA,722110,"SOL",3040,"S","NACO VISTA",NA,NA,"TUCSON","AZ",85713,NA,"N",2,-110.9426389,32.1879638,"Restaurants",0.222265573758847,"HEWA(SE)"
11,2013-04-17,"NATIONAL PIZZA PARTIES","2013-04-01","PLL",99,NA,722320,"PRT",7501,"E","TORONTO","ST",NA,"TUCSON","AZ",85730,5203058179,"N",16,-110.831979,32.184028,"Restaurants",6.69328315071368,"HEWA(SE)"
11,2011-05-11,"VEGGIE HEARTS","2011-01-21","PLL",99,NA,722110,"SOL",10020,"E","MOCCASIN","PL",NA,"TUCSON","AZ",85749,5204251083,"N",110,-110.777717,32.262062,"Restaurants",9.85787063194323,"HEWA(SE)"
11,2012-03-07,"BRAWLEYS RESTAURANT LLC","2012-01-01","PLL",99,NA,722110,"LLC",6367,"E","BROADWAY","BLVD",NA,"TUCSON","AZ",85710,NA,"N",66,-110.8562277,32.2220978,"Restaurants",5.27309608460427,"HEWA(SE)"
11,2013-10-02,"NICO'S MEXICAN FOOD","2013-09-01","PLL",99,NA,722211,"SOL",2965,"N","CAMPBELL","AVE",NA,"TUCSON","AZ",85719,5204045830,"N",31,-110.9441805,32.2609203,"Restaurants",0.132016033101156,"HEWA(SE)"
11,2011-08-31,"HOME DEN LOUNGE","2011-07-21","PLL",99,NA,722110,"SOL",2607,"N","1ST","AV",NA,"TUCSON","AZ",85719,NA,"N",41,-110.9609952,32.2542057,"Restaurants",0.161165548054367,"UNTY(CR)"
11,2011-10-12,"HIDE OUT SALOON EAST","2011-09-20","PLL",99,NA,721110,"LLC",1110,"S","SHERWOOD VILLAGE","DR",NA,"TUCSON","AZ",85710,NA,"N",22,-110.820443,32.2072911,"Restaurants",7.36598515109881,"HEWA(SE)"
11,2011-11-02,"THE HOG PIT SMOKEHOUSE","2011-09-29","PLL",99,NA,452990,"LLC",6910,"E","TANQUE VERDE",NA,NA,"TUCSON","AZ",85715,NA,"N",34,-110.844779,32.2502489,"Restaurants",5.94045542702642,"HEWA(SE)"
11,2015-02-25,"EL POTOSINO MEXICAN FOOD","2015-01-01","PLL",99,NA,722211,"LLC",3120,"S","PHILAMENA","PL",NA,"TUCSON","AZ",85730,NA,"N",55,-110.79804,32.185453,"Restaurants",8.67778230219,"HEWA(SE)"
11,2015-01-14,"TRACY'S TUCSON TREATS","2015-01-09","PLL",99,NA,722330,"SOL",8612,"E","OLD SPANISH","TRL","115","TUCSON","AZ",85710,NA,"N",5,-110.8086581,32.2172227,"Restaurants",8.05406944380264,"HEWA(SE)"
11,2012-04-11,"SWEET TOOSHIES BAKERY LLC","2012-04-01","PLL",99,17,311811,"LLC",8963,"E","TANQUE VERDE","RD","201","TUCSON","AZ",85749,NA,"N",10,-110.8014307,32.2599193,"Restaurants",8.4725657018626,"HEWA(SE)"
11,2012-01-25,"QUE TACO","2012-01-02","PLL",99,NA,722211,"SOL",1104,"S","WILMOT","RD",NA,"TUCSON","AZ",85711,NA,"N",23,-110.8584009,32.207982,"Restaurants",5.1468669606866,"HEWA(SE)"
11,2012-12-05,"D STIRS CATERING COMPANY","2012-11-30","PLL",99,NA,722320,"SOL",2117,"E","SILVER","ST",NA,"TUCSON","AZ",85719,NA,"N",5,-110.940474,32.253334,"Restaurants",0.348605210237667,"HEWA(SE)"
11,2011-10-19,"NIMBUS AMERICAN BISTRO N BREWERY","2011-09-29","PLL",99,NA,722110,"LLC",6464,"E","TANQUE VERDE","RD",NA,"TUCSON","AZ",85715,NA,"N",20,-110.8547115,32.2449028,"Restaurants",5.36037563516726,"HEWA(SE)"
11,2011-11-09,"EL GRAN BURGER","2011-11-07","PLL",99,NA,722211,"CRP",4500,"N","ORACLE","ROAD","FC12","TUCSON","AZ",85705,5206820598,"N",2,-110.9923904,32.2680738,"Restaurants",0.414998352661512,"COCN(SE)"
11,2011-08-03,"CONNECTIONS COFFEE, LLC","2011-08-01","PLL",99,NA,722211,"LLC",2345,"S","CAMINO SECO","AVE",NA,"TUCSON","AZ",85710,5202717447,"N",2,-110.8067448,32.2703043,"Restaurants",8.16114097061918,"HEWA(SE)"
11,2011-06-08,"QUE TACO","2011-06-01","PLL",99,NA,722211,"LLC",1104,"S","WILMOT","RD",NA,"TUCSON","AZ",85711,NA,"N",7,-110.8584009,32.207982,"Restaurants",5.1468669606866,"HEWA(SE)"
11,2014-11-19,"GOOD DAY CAFE LLC","2014-10-01","PLL",99,NA,722110,"LLC",9013,"E","MAYBERRY","DR",NA,"TUCSON","AZ",85730,NA,"N",49,-110.800429,32.172209,"Restaurants",8.53932597163005,"HEWA(SE)"
11,2013-02-06,"ESPRESSO YOURSELF","2013-01-01","PLL",99,NA,722330,"SOL",6120,"S","DEL MORAL","BLVD","#12","TUCSON","AZ",85706,NA,"N",36,-110.949061,32.140824,"Restaurants",0.101621927138573,"2SCH(CR)"
11,2013-02-06,"TACO GIRO MEXICAN GRILL","2012-12-01","PLL",99,NA,722211,"LLC",3120,"S","PHILAMENA","PL",NA,"TUCSON","AZ",857302914,NA,"N",67,-110.79804,32.185453,"Restaurants",8.67778230219,"HEWA(SE)"
11,2012-02-15,"BROADWAY PIZZA CAFE LLC","2012-02-09","PLL",99,NA,722110,"LLC",4558,"E","BROADWAY","BLVD",NA,"TUCSON","AZ",85711,NA,"N",6,-110.8953468,32.2213979,"Restaurants",2.98652658804372,"HEWA(SE)"
11,2011-03-30,"LOS CHULOS HOTDOGS","2011-03-24","PLL",99,NA,722211,"SOL",881,"E","PEPPERGRASS","LN",NA,"TUCSON","AZ",85719,NA,"N",6,-110.9584851,32.2819723,"Restaurants",0.014492400645663,"UNTY(CR)"
11,2012-05-23,"ARIZONA DESSERTS LLC","2012-05-05","PLL",99,17,311812,"LLC",4963,"S","CHERRY","AVE",NA,"TUCSON","AZ",85706,NA,"N",18,-110.946931,32.16229,"Restaurants",0.0229867666363322,"2SCH(CR)"
11,2012-02-22,"GREAT WALL OF CHINA","2012-01-23","PLL",99,NA,722110,"CRP",2445,"S","CRAYCROFT","RD",NA,"TUCSON","AZ",85711,NA,"N",30,-110.8747509,32.1943212,"Restaurants",4.19165654711576,"HEWA(SE)"
11,2012-03-07,"ESPRESSO ART CAFE LLC","2012-03-01","PLL",99,NA,722211,"LLC",942,"E","UNIVERSITY","BLVD",NA,"TUCSON","AZ",85719,NA,"N",6,-110.9574463,32.2316558,"Restaurants",0.0462131966385689,"UNTY(CR)"
11,2013-10-09,"TOTOPO'S MEXICAN GRILL LLC","2013-10-07","PLL",99,NA,722110,"LLC",2475,"S","HARRISON","RD",NA,"TUCSON","AZ",85748,NA,"N",2,-110.789193,32.193059,"Restaurants",9.19434770782699,"HEWA(SE)"
11,2011-04-20,"THE ROLLING CHEF","2011-04-18","PLL",99,NA,722320,"SOL",1601,"S","AUGUSTA","PL",NA,"TUCSON","AZ",85710,NA,"N",2,-110.810205,32.202427,"Restaurants",7.96494073054498,"HEWA(SE)"
11,2014-05-07,"CAFE PASSE ON CONGRESS","2014-04-27","PLL",99,NA,722110,"LLC",415,"N","4TH","AVE",NA,"TUCSON","AZ",85705,NA,"N",10,-110.9657476,32.2268711,"Restaurants",0.00815948135794385,"4A5S(CR)"
11,2014-01-15,"TUCSON TAMALE COMPANY TANQUE VERDE LLC","2014-01-13","PLL",99,NA,722110,"LLC",7159,"E","TANQUE VERDE","RD",NA,"TUCSON","AZ",85715,NA,"N",2,-110.8394841,32.2522947,"Restaurants",6.24971660214909,"HEWA(SE)"
11,2012-04-25,"DOMAS DELIGHTS","2012-04-20","PLL",99,NA,424430,"LLC",2714,"E","GRANT","RD",NA,"TUCSON","AZ",85716,NA,"N",5,-110.9317838,32.25036,"Restaurants",0.856418877377993,"HEWA(SE)"
11,2012-06-13,"RED WAGON STEAK AND SUB","2012-06-01","PLL",99,NA,722330,"LLC",829,"N","CATALINA","AV",NA,"TUCSON","AZ",85711,NA,"N",12,-110.899279,32.232165,"Restaurants",2.75635302470912,"HEWA(SE)"
11,2015-04-15,"CRUSH","2015-04-10","PLL",99,NA,722330,"SOL",1712,"N","SANTA ROSA","AVE",NA,"TUCSON","AZ",85712,NA,"N",5,-110.885992,32.243693,"Restaurants",3.53247145517797,"HEWA(SE)"
11,2015-01-28,"MR BAJA FISH LLC","2014-09-03","PLL",11,99,999999,"LLC",1905,"W","GRANT","RD",NA,"TUCSON","AZ",85745,NA,"N",147,-111.0076684,32.2501573,"Restaurants",1.30783533445293,"COCN(SE)"
11,2013-12-25,"RANDY BEE VENTURES LLC","2013-11-01","PLL",99,NA,722110,"LLC",6910,"E","TANQUE VERDE","RD",NA,"TUCSON","AZ",85715,NA,"N",54,-110.844779,32.2502489,"Restaurants",5.94045542702642,"HEWA(SE)"
11,2013-09-25,"MAKER HOUSE LLC","2013-09-19","PLL",99,NA,722213,"LLC",283,"N","STONE","AVE","165","TUCSON","AZ",85701,NA,"N",6,-110.9719633,32.2258851,"Restaurants",0.0309607748008959,"COCH(NW)"
11,2015-03-04,"BROTHERLY LOVE SUBS","2015-03-01","PLL",99,NA,454390,"SOL",2497,"N","YELLOW FLOWER","TR",NA,"TUCSON","AZ",85715,NA,"N",3,-110.827734,32.252512,"Restaurants",6.93628940918717,"HEWA(SE)"
11,2012-02-29,"KILOS CARRETA","2012-02-24","PLL",99,17,722330,"SOL",215,"E","COLUMBIA",NA,NA,"TUCSON","AZ",85714,NA,"N",5,-110.965142,32.173452,"Restaurants",0.0242121002973887,"4A9S(CR)"
11,2015-03-18,"CACTUS SLAP LLC","2015-03-11","PLL",99,NA,454390,"LLC",2912,"N","JACKSON","DR",NA,"TUCSON","AZ",85719,NA,"N",7,-110.937706,32.259532,"Restaurants",0.510310098560032,"HEWA(SE)"
11,2014-01-15,"IMPRESS HOT POT","2014-01-07","PLL",99,NA,722110,"SOL",2522,"E","SPEEDWAY","BLVD",NA,"TUCSON","AZ",85716,NA,"N",8,-110.9343227,32.2357608,"Restaurants",0.708174870285829,"HEWA(SE)"
11,2013-12-11,"ADY'S LLC","2013-12-09","PLL",99,NA,722211,"LLC",410,"N","GRANDE","AVE","411","TUCSON","AZ",85745,NA,"N",2,-110.988754,32.227026,"Restaurants",0.202642361438935,"COCN(SE)"
11,2011-06-29,"PARADISE FOODSERVICE CONCEPTS LLC","2011-06-21","PLL",99,NA,722320,"LLC",2030,"E","BROADWAY","BL","115","TUCSON","AZ",85719,NA,"N",8,-110.9412498,32.2212306,"Restaurants",0.303380860225099,"HEWA(SE)"
11,2014-03-05,"LIZA'S CUTIE CUPCAKES","2013-12-01","PLL",99,17,722213,"LLC",3421,"N","1ST","AVE",NA,"TUCSON","AZ",857191806,NA,"N",94,-110.9610397,32.2694273,"Restaurants",0.163738285112563,"UNTY(CR)"
11,2014-06-04,"BTO CAMINO SECO","2014-04-23","PLL",99,NA,445299,"LLC",8650,"E","SPEEDWAY","BLVD","100","TUCSON","AZ",85710,5205465838,"N",42,-110.8073634,32.2349566,"Restaurants",8.12816535713105,"HEWA(SE)"
11,2013-07-17,"ROYAL CAFE LLC","2013-05-01","PLL",99,NA,722211,"LLC",815,"W","AUTOMALL","DR",NA,"TUCSON","AZ",857056014,NA,"N",77,-110.984991,32.288339,"Restaurants",0.0172891956158989,"COCN(SE)"
11,2014-09-03,"DELICIOUS RASPADOS & MORE","2014-08-27","PLL",99,NA,722330,"SOL",2009,"S","MARTIN","AVE",NA,"TUCSON","AZ",85713,NA,"N",7,-110.944568,32.1980239,"Restaurants",0.109451254399408,"HEWA(SE)"
11,2014-10-15,"LAS CHABELAS","2014-10-08","PLL",99,NA,722110,"SOL",1402,"W","AJO","WAY","UNIT","TUCSON","AZ",85713,NA,"N",7,-110.9956748,32.1804772,"Restaurants",0.607466312667055,"COCN(SE)"
11,2013-02-13,"LA MESA TORTILLAS","2013-02-06","PLL",99,NA,722110,"CRP",7823,"E","BROADWAY","BL",NA,"TUCSON","AZ",85710,5202985966,"N",7,-110.8247185,32.2224842,"Restaurants",7.11484377832271,"HEWA(SE)"
11,2011-06-08,"GUADALUPE SOTO","2011-06-04","PLL",99,NA,722330,"SOL",2133,"E","HIDALGO VISTA",NA,NA,"TUCSON","AZ",85713,NA,"N",4,-110.939876,32.183679,"Restaurants",0.383841492633459,"HEWA(SE)"
11,2014-04-16,"VIVA'S BAR & GRILL","2014-04-01","PLL",99,NA,722110,"LLC",1929,"E","GRANT","ROAD",NA,"TUCSON","AZ",85719,NA,"N",15,-110.942779,32.250564,"Restaurants",0.213926015522681,"HEWA(SE)"
11,2011-05-18,"MOONEY'S PUB LLC","2011-05-12","PLL",99,NA,722410,"LLC",1110,NA,"SHEROOD VILLAGE","DR",NA,"TUCSON","AZ",85710,NA,"N",6,-110.820443,32.2072911,"Restaurants",7.36598515109881,"HEWA(SE)"
11,2014-04-23,"COCINA LUCIA","2014-04-15","PLL",99,NA,722320,"SOL",8799,"E","SQUAW PEAK","DR",NA,"TUCSON","AZ",857305708,NA,"N",8,-110.804592,32.173266,"Restaurants",8.29576030957676,"HEWA(SE)"
11,2012-06-06,"BELLA D'AURIA RESTAURANT & BAR LLC","2012-04-27","PLL",99,NA,722110,"LLC",4445,"E","BROADWAY","BLVD",NA,"TUCSON","AZ",857113507,NA,"N",40,-110.8971572,32.2218762,"Restaurants",2.88068898094527,"HEWA(SE)"
