"Accept_Date"	"Business_Name"	"Start_Date"	"License_Type"	"Activity_Code_1"	"Activity_Code_2"	"Activity_Code_3"	"NAICS_Code"	"Owner_Type"	"Street_Number"	"Street_Direction"	"Street_Name"	"Street_Suffix"	"Suite.Apt_No."	"City"	"State"	"Zip_Code"	"Phone"	"N_U_Q"	"start_to_approved"	"lon"	"lat"
"2011-01-12"	"LORNA'S CREATIONS"	"2011-01-01"	"PLL"	17	99	NA	454390	"SOL"	9771	"E"	"ROCK RIDGE"	"CT"	NA	"TUCSON"	"AZ"	85749	NA	"N"	11	-110.783859	32.250907
"2011-01-12"	"CARLY QUINN DESIGNS"	"2011-01-07"	"PLL"	17	99	NA	711510	"SOL"	403	"N"	"6TH"	"AVE"	"STE 135"	"TUCSON"	"AZ"	857058326	NA	"N"	5	-110.9688321	32.2265903
"2011-01-12"	"CAREFREE COW"	"2011-01-07"	"PLL"	17	99	NA	454111	"SOL"	7637	"E"	"DESERT OVERLOOK"	"DR"	NA	"TUCSON"	"AZ"	857108165	NA	"N"	5	-110.829431	32.207138
"2011-01-12"	"DIAMOND CARPET CLEANING"	"2011-01-10"	"SVL"	NA	NA	NA	NA	"PRT"	4027	"E"	"DREXEL"	"RD"	NA	"TUCSON"	"AZ"	85706	NA	"N"	2	-110.906258	32.1492239
"2011-01-12"	"FAST TAX"	"2011-01-02"	"SVL"	NA	NA	NA	NA	"LLC"	6477	"E"	"22ND"	"ST"	NA	"TUCSON"	"AZ"	857105115	NA	"N"	10	-110.8539136	32.2067602
"2011-01-12"	"ANTHONY'S K-9 ACADEMY LLC"	"2010-11-01"	"PLL"	NA	NA	NA	NA	"LLC"	2901	"W"	"AVENIDA CRESTA"	NA	NA	"TUCSON"	"AZ"	85745	5203904487	"N"	72	-111.02939	32.251473
"2011-01-12"	"MEP TRADING LLC"	"2011-01-01"	"PLL"	17	99	NA	454390	"LLC"	1280	"E"	"ELLIS"	"RD"	NA	"TUCSON"	"AZ"	85719	NA	"N"	11	-110.952866	32.274518
"2011-01-12"	"BAER WORKS LLC"	"2011-01-01"	"PLL"	15	99	NA	236118	"LLC"	2917	"W"	"PLAZA"	"DR"	"North"	"TUCSON"	"AZ"	85716	NA	"N"	11	-110.932084	32.260139
"2011-01-12"	"MARTINEZ SIGNS"	"2011-01-10"	"PLL"	NA	NA	NA	NA	"MAR"	1625	"W"	"FT LOWELL"	"RD"	"26"	"TUCSON"	"AZ"	85705	NA	"N"	2	-110.999962	32.264058
"2011-01-12"	"FOR KIDS & MORE"	"2011-01-01"	"PLL"	17	99	NA	454390	"PRT"	6960	"E"	"OBERLIN"	"DR"	NA	"TUCSON"	"AZ"	85710	NA	"N"	11	-110.843676	32.211739
"2011-01-12"	"CRUISE CAB"	"2011-01-11"	"SVL"	98	99	NA	485310	"SOL"	1090	"N"	"CARIBE"	"AV"	NA	"TUCSON"	"AZ"	85701	NA	"N"	1	-110.845515	32.234959
"2011-01-12"	"JUST ADD WATER CAFE"	"2011-02-01"	"PLL"	NA	NA	NA	NA	"LLC"	3073	"N"	"CAMPBELL"	"AV"	NA	"TUCSON"	"AZ"	85719	NA	"N"	-20	-110.944678	32.2627946
"2011-01-12"	"ARCOLA, LLC"	"2010-12-22"	"PLL"	13	99	NA	531120	"LLC"	820	"E"	"47TH"	"ST"	"SUITE B2"	"TUCSON"	"AZ"	85713	5203220213	"N"	21	-110.957157	32.179594
"2011-01-12"	"YURICK'S ART"	"2011-01-10"	"PLL"	17	99	NA	454390	"SOL"	428	"E"	"ROGER"	"RD"	NA	"TUCSON"	"AZ"	85705	NA	"N"	2	-110.964125	32.279009
"2011-01-12"	"VIDASSAGE LLC"	"2011-01-07"	"PLL"	NA	NA	NA	NA	"LLC"	3023	"E"	"17TH"	"ST"	NA	"TUCSON"	"AZ"	85716	5209773469	"N"	5	-110.927584	32.213902
"2011-01-19"	"HECHO A MANO"	"2011-01-15"	"PLL"	NA	NA	NA	NA	"SOL"	5255	"S"	"6TH"	"AV"	NA	"TUCSON"	"AZ"	85706	NA	"N"	4	-110.967727	32.156305
"2011-01-19"	"IN HOPES OF HEALING"	"2011-01-05"	"SVL"	NA	NA	NA	NA	"PRT"	2810	"N"	"WINSTEL"	"BL"	NA	"TUCSON"	"AZ"	85716	NA	"N"	14	-110.911685	32.25819
"2011-01-19"	"LASER BELLA"	"2011-01-01"	"SVL"	NA	NA	NA	NA	"LLC"	1661	"W"	"PRINCE"	"RD"	NA	"TUCSON"	"AZ"	85705	NA	"N"	18	-111.00128	32.271725
"2011-01-19"	"EZ CELLULAR"	"2011-01-05"	"PLL"	17	99	NA	443112	"SOL"	2221	"W"	"NEBRASKA"	"ST"	NA	"TUCSON"	"AZ"	85713	NA	"N"	14	-111.014545	32.155416
"2011-01-19"	"UNIVERSAL JANITORIAL SERVICE"	"2011-01-05"	"SVL"	NA	NA	NA	NA	"SOL"	3932	"S"	"LUNDY"	"AV"	NA	"TUCSON"	"AZ"	85714	NA	"N"	14	-110.975078	32.176501
"2011-01-19"	"ONYX I"	"2011-02-01"	"PLL"	NA	NA	NA	NA	"LLC"	106	"W"	"DRACHMAN"	"ST"	NA	"TUCSON"	"AZ"	85705	NA	"N"	-13	-110.9736558	32.2396432
"2011-01-19"	"ELECTRUM PARTNERS LLC"	"2010-09-23"	"PLL"	13	99	NA	531120	"LLC"	1815	"E"	"WINSETT"	"ST"	NA	"TUCSON"	"AZ"	85719	NA	"N"	118	-110.9448268	32.2147226
"2011-01-19"	"HEALING SPIRIT MEDICINE"	"2011-01-03"	"SVL"	NA	NA	NA	NA	"SOL"	2531	"E"	"22ND"	"ST"	NA	"TUCSON"	"AZ"	85713	NA	"N"	16	-110.93427	32.207226
"2011-01-19"	"CRYSTAL RAE ASHFORD-OLIVER"	"2011-01-06"	"SVL"	99	98	NA	999999	"SOL"	8488	"E"	"VIA CORTINA DE MADER"	NA	NA	"TUCSON"	"AZ"	85747	NA	"N"	13	-110.81168	32.11681
"2011-01-19"	"INSTITUTE OF MOSAIC ART LLC"	"2011-01-17"	"PLL"	NA	NA	NA	NA	"LLC"	220	"E"	"6TH"	"ST"	NA	"TUCSON"	"AZ"	85705	NA	"N"	2	-110.9681426	32.2277065
"2011-01-19"	"AEROHAWK LLC"	"2011-01-10"	"PLL"	NA	NA	NA	NA	"LLC"	10635	"E"	"CHANNELSIDE"	"DR"	NA	"TUCSON"	"AZ"	85748	5205469506	"N"	9	-110.765464	32.225096
"2011-01-19"	"RECYCLELINK"	"2011-01-17"	"PLL"	NA	NA	NA	NA	"SOL"	1032	"E"	"ALTA VISTA"	NA	NA	"TUCSON"	"AZ"	85719	9164028952	"N"	2	-110.955662	32.256391
"2011-01-19"	"FRANK JOHNSON AUTOMOTIVE REFINISHING"	"2011-01-01"	"PLL"	17	99	NA	441310	"CRP"	1028	"S"	"CURTIS"	"AV"	NA	"TUCSON"	"AZ"	85719	NA	"N"	18	-110.950695	32.208812
"2011-01-19"	"PIMA COUNTY COMMERCIAL CONSTRUCTION"	"2011-02-01"	"PLL"	NA	NA	NA	NA	"SOL"	2911	"S"	"HOUGHTON"	"RD"	NA	"TUCSON"	"AZ"	857303116	NA	"N"	-13	-110.769495	32.187769
"2011-01-19"	"TAYLOR SUSAN LEE & MICHAEL JEFFREY"	"2009-12-01"	"PLL"	13	99	NA	531120	"PRT"	5601	"E"	"10TH"	"ST"	NA	"TUCSON"	"AZ"	85711	NA	"N"	414	-110.872904	32.222899
"2011-01-19"	"ZEN BEAUTY SPA"	"2011-01-10"	"PLL"	17	99	NA	812112	"SOL"	4262	"N"	"1ST"	"AV"	"130"	"TUCSON"	"AZ"	85719	NA	"N"	9	-110.961071	32.2841467
"2011-01-19"	"SOCIAL SCIENCE JUNK SHOP"	"2011-01-01"	"PLL"	17	99	NA	442110	"LLC"	43	"S"	"6TH"	"AV"	NA	"TUCSON"	"AZ"	85701	NA	"N"	18	-110.9683845	32.2214153
"2011-01-19"	"LORNA'S CREATIONS"	"2011-01-01"	"PLL"	17	99	NA	454390	"SOL"	9771	"E"	"ROCK RIDGE"	"CT"	NA	"TUCSON"	"AZ"	85749	NA	"N"	18	-110.783859	32.250907
"2011-01-19"	"CARLY QUINN DESIGNS"	"2011-01-07"	"PLL"	17	99	NA	711510	"SOL"	403	"N"	"6TH"	"AVE"	"STE 135"	"TUCSON"	"AZ"	857058326	NA	"N"	12	-110.9688321	32.2265903
"2011-01-19"	"CAREFREE COW"	"2011-01-07"	"PLL"	17	99	NA	454111	"SOL"	7637	"E"	"DESERT OVERLOOK"	"DR"	NA	"TUCSON"	"AZ"	857108165	NA	"N"	12	-110.829431	32.207138
"2011-01-19"	"DIAMOND CARPET CLEANING"	"2011-01-10"	"SVL"	NA	NA	NA	NA	"PRT"	4027	"E"	"DREXEL"	"RD"	NA	"TUCSON"	"AZ"	85706	NA	"N"	9	-110.906258	32.1492239
"2011-01-19"	"FAST TAX"	"2011-01-02"	"SVL"	NA	NA	NA	NA	"LLC"	6477	"E"	"22ND"	"ST"	NA	"TUCSON"	"AZ"	857105115	NA	"N"	17	-110.8539136	32.2067602
"2011-01-19"	"ANTHONY'S K-9 ACADEMY LLC"	"2010-11-01"	"PLL"	NA	NA	NA	NA	"LLC"	2901	"W"	"AVENIDA CRESTA"	NA	NA	"TUCSON"	"AZ"	85745	5203904487	"N"	79	-111.02939	32.251473
"2011-01-19"	"MEP TRADING LLC"	"2011-01-01"	"PLL"	17	99	NA	454390	"LLC"	1280	"E"	"ELLIS"	"RD"	NA	"TUCSON"	"AZ"	85719	NA	"N"	18	-110.952866	32.274518
"2011-01-19"	"BAER WORKS LLC"	"2011-01-01"	"PLL"	15	99	NA	236118	"LLC"	2917	"W"	"PLAZA"	"DR"	"North"	"TUCSON"	"AZ"	85716	NA	"N"	18	-110.932084	32.260139
"2011-01-19"	"MARTINEZ SIGNS"	"2011-01-10"	"PLL"	NA	NA	NA	NA	"MAR"	1625	"W"	"FT LOWELL"	"RD"	"26"	"TUCSON"	"AZ"	85705	NA	"N"	9	-110.999962	32.264058
"2011-01-19"	"FOR KIDS & MORE"	"2011-01-01"	"PLL"	17	99	NA	454390	"PRT"	6960	"E"	"OBERLIN"	"DR"	NA	"TUCSON"	"AZ"	85710	NA	"N"	18	-110.843676	32.211739
"2011-01-19"	"CRUISE CAB"	"2011-01-11"	"SVL"	98	99	NA	485310	"SOL"	1090	"N"	"CARIBE"	"AV"	NA	"TUCSON"	"AZ"	85701	NA	"N"	8	-110.845515	32.234959
"2011-01-19"	"JUST ADD WATER CAFE"	"2011-02-01"	"PLL"	NA	NA	NA	NA	"LLC"	3073	"N"	"CAMPBELL"	"AV"	NA	"TUCSON"	"AZ"	85719	NA	"N"	-13	-110.944678	32.2627946
"2011-01-19"	"ARCOLA, LLC"	"2010-12-22"	"PLL"	13	99	NA	531120	"LLC"	820	"E"	"47TH"	"ST"	"SUITE B2"	"TUCSON"	"AZ"	85713	5203220213	"N"	28	-110.957157	32.179594
"2011-01-19"	"YURICK'S ART"	"2011-01-10"	"PLL"	17	99	NA	454390	"SOL"	428	"E"	"ROGER"	"RD"	NA	"TUCSON"	"AZ"	85705	NA	"N"	9	-110.964125	32.279009
"2011-01-19"	"VIDASSAGE LLC"	"2011-01-07"	"PLL"	NA	NA	NA	NA	"LLC"	3023	"E"	"17TH"	"ST"	NA	"TUCSON"	"AZ"	85716	5209773469	"N"	12	-110.927584	32.213902
"2011-01-24"	"HECHO A MANO"	"2011-01-15"	"PLL"	NA	NA	NA	NA	"SOL"	5255	"S"	"6TH"	"AV"	NA	"TUCSON"	"AZ"	85706	NA	"N"	9	-110.967727	32.156305
"2011-01-24"	"IN HOPES OF HEALING"	"2011-01-05"	"SVL"	NA	NA	NA	NA	"PRT"	2810	"N"	"WINSTEL"	"BL"	NA	"TUCSON"	"AZ"	85716	NA	"N"	19	-110.911685	32.25819
"2011-01-24"	"LASER BELLA"	"2011-01-01"	"SVL"	NA	NA	NA	NA	"LLC"	1661	"W"	"PRINCE"	"RD"	NA	"TUCSON"	"AZ"	85705	NA	"N"	23	-111.00128	32.271725
"2011-01-24"	"EZ CELLULAR"	"2011-01-05"	"PLL"	17	99	NA	443112	"SOL"	2221	"W"	"NEBRASKA"	"ST"	NA	"TUCSON"	"AZ"	85713	NA	"N"	19	-111.014545	32.155416
"2011-01-24"	"UNIVERSAL JANITORIAL SERVICE"	"2011-01-05"	"SVL"	NA	NA	NA	NA	"SOL"	3932	"S"	"LUNDY"	"AV"	NA	"TUCSON"	"AZ"	85714	NA	"N"	19	-110.975078	32.176501
"2011-01-24"	"ONYX I"	"2011-02-01"	"PLL"	NA	NA	NA	NA	"LLC"	106	"W"	"DRACHMAN"	"ST"	NA	"TUCSON"	"AZ"	85705	NA	"N"	-8	-110.9736558	32.2396432
"2011-01-24"	"ELECTRUM PARTNERS LLC"	"2010-09-23"	"PLL"	13	99	NA	531120	"LLC"	1815	"E"	"WINSETT"	"ST"	NA	"TUCSON"	"AZ"	85719	NA	"N"	123	-110.9448268	32.2147226
"2011-01-24"	"HEALING SPIRIT MEDICINE"	"2011-01-03"	"SVL"	NA	NA	NA	NA	"SOL"	2531	"E"	"22ND"	"ST"	NA	"TUCSON"	"AZ"	85713	NA	"N"	21	-110.93427	32.207226
"2011-01-24"	"CRYSTAL RAE ASHFORD-OLIVER"	"2011-01-06"	"SVL"	99	98	NA	999999	"SOL"	8488	"E"	"VIA CORTINA DE MADER"	NA	NA	"TUCSON"	"AZ"	85747	NA	"N"	18	-110.81168	32.11681
"2011-01-24"	"INSTITUTE OF MOSAIC ART LLC"	"2011-01-17"	"PLL"	NA	NA	NA	NA	"LLC"	220	"E"	"6TH"	"ST"	NA	"TUCSON"	"AZ"	85705	NA	"N"	7	-110.9681426	32.2277065
"2011-01-24"	"AEROHAWK LLC"	"2011-01-10"	"PLL"	NA	NA	NA	NA	"LLC"	10635	"E"	"CHANNELSIDE"	"DR"	NA	"TUCSON"	"AZ"	85748	5205469506	"N"	14	-110.765464	32.225096
"2011-01-24"	"RECYCLELINK"	"2011-01-17"	"PLL"	NA	NA	NA	NA	"SOL"	1032	"E"	"ALTA VISTA"	NA	NA	"TUCSON"	"AZ"	85719	9164028952	"N"	7	-110.955662	32.256391
"2011-01-24"	"FRANK JOHNSON AUTOMOTIVE REFINISHING"	"2011-01-01"	"PLL"	17	99	NA	441310	"CRP"	1028	"S"	"CURTIS"	"AV"	NA	"TUCSON"	"AZ"	85719	NA	"N"	23	-110.950695	32.208812
"2011-01-24"	"PIMA COUNTY COMMERCIAL CONSTRUCTION"	"2011-02-01"	"PLL"	NA	NA	NA	NA	"SOL"	2911	"S"	"HOUGHTON"	"RD"	NA	"TUCSON"	"AZ"	857303116	NA	"N"	-8	-110.769495	32.187769
"2011-01-24"	"TAYLOR SUSAN LEE & MICHAEL JEFFREY"	"2009-12-01"	"PLL"	13	99	NA	531120	"PRT"	5601	"E"	"10TH"	"ST"	NA	"TUCSON"	"AZ"	85711	NA	"N"	419	-110.872904	32.222899
"2011-01-24"	"ZEN BEAUTY SPA"	"2011-01-10"	"PLL"	17	99	NA	812112	"SOL"	4262	"N"	"1ST"	"AV"	"130"	"TUCSON"	"AZ"	85719	NA	"N"	14	-110.961071	32.2841467
"2011-01-24"	"SOCIAL SCIENCE JUNK SHOP"	"2011-01-01"	"PLL"	17	99	NA	442110	"LLC"	43	"S"	"6TH"	"AV"	NA	"TUCSON"	"AZ"	85701	NA	"N"	23	-110.9683845	32.2214153
"2011-01-24"	"LORNA'S CREATIONS"	"2011-01-01"	"PLL"	17	99	NA	454390	"SOL"	9771	"E"	"ROCK RIDGE"	"CT"	NA	"TUCSON"	"AZ"	85749	NA	"N"	23	-110.783859	32.250907
"2011-01-24"	"CARLY QUINN DESIGNS"	"2011-01-07"	"PLL"	17	99	NA	711510	"SOL"	403	"N"	"6TH"	"AVE"	"STE 135"	"TUCSON"	"AZ"	857058326	NA	"N"	17	-110.9688321	32.2265903
"2011-01-24"	"CAREFREE COW"	"2011-01-07"	"PLL"	17	99	NA	454111	"SOL"	7637	"E"	"DESERT OVERLOOK"	"DR"	NA	"TUCSON"	"AZ"	857108165	NA	"N"	17	-110.829431	32.207138
"2011-01-24"	"DIAMOND CARPET CLEANING"	"2011-01-10"	"SVL"	NA	NA	NA	NA	"PRT"	4027	"E"	"DREXEL"	"RD"	NA	"TUCSON"	"AZ"	85706	NA	"N"	14	-110.906258	32.1492239
"2011-01-24"	"FAST TAX"	"2011-01-02"	"SVL"	NA	NA	NA	NA	"LLC"	6477	"E"	"22ND"	"ST"	NA	"TUCSON"	"AZ"	857105115	NA	"N"	22	-110.8539136	32.2067602
"2011-01-24"	"ANTHONY'S K-9 ACADEMY LLC"	"2010-11-01"	"PLL"	NA	NA	NA	NA	"LLC"	2901	"W"	"AVENIDA CRESTA"	NA	NA	"TUCSON"	"AZ"	85745	5203904487	"N"	84	-111.02939	32.251473
"2011-01-24"	"MEP TRADING LLC"	"2011-01-01"	"PLL"	17	99	NA	454390	"LLC"	1280	"E"	"ELLIS"	"RD"	NA	"TUCSON"	"AZ"	85719	NA	"N"	23	-110.952866	32.274518
"2011-01-24"	"BAER WORKS LLC"	"2011-01-01"	"PLL"	15	99	NA	236118	"LLC"	2917	"W"	"PLAZA"	"DR"	"North"	"TUCSON"	"AZ"	85716	NA	"N"	23	-110.932084	32.260139
"2011-01-24"	"MARTINEZ SIGNS"	"2011-01-10"	"PLL"	NA	NA	NA	NA	"MAR"	1625	"W"	"FT LOWELL"	"RD"	"26"	"TUCSON"	"AZ"	85705	NA	"N"	14	-110.999962	32.264058
"2011-01-24"	"FOR KIDS & MORE"	"2011-01-01"	"PLL"	17	99	NA	454390	"PRT"	6960	"E"	"OBERLIN"	"DR"	NA	"TUCSON"	"AZ"	85710	NA	"N"	23	-110.843676	32.211739
"2011-01-24"	"CRUISE CAB"	"2011-01-11"	"SVL"	98	99	NA	485310	"SOL"	1090	"N"	"CARIBE"	"AV"	NA	"TUCSON"	"AZ"	85701	NA	"N"	13	-110.845515	32.234959
"2011-01-24"	"JUST ADD WATER CAFE"	"2011-02-01"	"PLL"	NA	NA	NA	NA	"LLC"	3073	"N"	"CAMPBELL"	"AV"	NA	"TUCSON"	"AZ"	85719	NA	"N"	-8	-110.944678	32.2627946
"2011-01-24"	"ARCOLA, LLC"	"2010-12-22"	"PLL"	13	99	NA	531120	"LLC"	820	"E"	"47TH"	"ST"	"SUITE B2"	"TUCSON"	"AZ"	85713	5203220213	"N"	33	-110.957157	32.179594
"2011-01-24"	"YURICK'S ART"	"2011-01-10"	"PLL"	17	99	NA	454390	"SOL"	428	"E"	"ROGER"	"RD"	NA	"TUCSON"	"AZ"	85705	NA	"N"	14	-110.964125	32.279009
"2011-01-24"	"VIDASSAGE LLC"	"2011-01-07"	"PLL"	NA	NA	NA	NA	"LLC"	3023	"E"	"17TH"	"ST"	NA	"TUCSON"	"AZ"	85716	5209773469	"N"	17	-110.927584	32.213902
"2011-01-26"	"ANABEL COSTA DONAGHUE"	"2010-01-01"	"SVL"	NA	NA	NA	NA	"SOL"	2550	"W"	"IRONWOOD HILL"	"DR"	"1112c"	"TUCSON"	"AZ"	85745	5203037695	"N"	390	-111.0215293	32.2520355
"2011-01-26"	"PROACTIVE HEALTH SOLUTIONS LLC"	"2011-01-01"	"SVL"	99	98	NA	621999	"LTD"	2981	"W"	"SAN JUAN"	"DR"	NA	"TUCSON"	"AZ"	85713	NA	"N"	25	-111.030566	32.199455
"2011-01-26"	"TUCSON CLEAR POOL"	"2011-01-21"	"SVL"	NA	NA	NA	NA	"SOL"	3416	"N"	"WINDING RIVER"	"WY"	NA	"TUCSON"	"AZ"	85712	NA	"N"	5	-110.9038007	32.2690071
"2011-01-26"	"CHRIS RICHARDS PHOTOGRAPHY"	"2011-01-01"	"PLL"	17	99	NA	541921	"SOL"	202	"E"	"UNIVERSITY"	"BL"	NA	"TUCSON"	"AZ"	85705	NA	"N"	25	-110.9684777	32.2314873
"2011-01-26"	"GOLD AND GEAR"	"2011-02-01"	"PLL"	NA	NA	NA	NA	"SOL"	9142	"E"	"CALLE CASCADA"	NA	NA	"TUCSON"	"AZ"	85715	NA	"N"	-6	-110.796495	32.238486
"2011-01-26"	"KUYKENDALL & ASSOCIATES"	"2011-01-01"	"SVL"	99	98	NA	541110	"CRP"	531	"S"	"COVENT"	"AV"	NA	"TUCSON"	"AZ"	85701	5207928033	"N"	25	-110.9715073	32.2134911
"2011-01-26"	"DESERT FIREARMS OF AZ"	"2010-02-01"	"PLL"	NA	NA	NA	NA	"SOL"	2669	"W"	"WINDSTAR"	"PL"	NA	"TUCSON"	"AZ"	857131105	NA	"N"	359	-111.023945	32.205093
"2011-01-26"	"DULCES LA PERLA"	"2011-01-24"	"PLL"	17	99	13	445292	"PRT"	4756	"S"	"6TH"	"AV"	"1"	"TUCSON"	"AZ"	85714	NA	"N"	2	-110.9684135	32.1655304
"2011-01-26"	"CATALINA ORIGINALS"	"2011-01-01"	"PLL"	17	99	NA	448150	"PRT"	6530	"E"	"22ND"	"ST"	NA	"TUCSON"	"AZ"	85710	NA	"N"	25	-110.8525033	32.2063991
"2011-01-26"	"ARTISTIC VESSELS"	"2011-01-01"	"PLL"	NA	NA	NA	NA	"SOL"	4927	"E"	"WINSETT"	"BL"	NA	"TUCSON"	"AZ"	85711	5202077821	"N"	25	-110.886024	32.21468
"2011-01-26"	"MAMACAKES SWEET TREATS"	"2011-02-11"	"PLL"	NA	NA	NA	NA	"LLL"	1917	"E"	"OREGON"	"ST"	NA	"TUCSON"	"AZ"	85706	5208892856	"N"	-16	-110.942335	32.153974
"2011-02-02"	"DREAMHORSE POTTERY"	"2011-01-01"	"PLL"	17	99	NA	454390	"SOL"	3905	"N"	"HOLSTER"	"DR"	NA	"TUCSON"	"AZ"	85749	NA	"N"	32	-110.752774	32.278998
"2011-02-02"	"BIRDS OF A FEATHER"	"2011-02-01"	"PLL"	17	99	NA	541490	"PRT"	1135	"E"	"SMOOT"	"DR"	NA	"TUCSON"	"AZ"	85719	NA	"N"	1	-110.954422	32.276947
"2011-02-02"	"TRUJILLOS ROASTED CORN"	"2011-01-01"	"PLL"	11	NA	NA	722330	"SOL"	5129	"S"	"BLOOMFIELD"	"DR"	NA	"TUCSON"	"AZ"	85746	NA	"N"	32	-110.996201	32.1588769
"2011-02-02"	"FETCH EVENTS"	"2011-01-26"	"PLL"	17	99	12	711320	"PRT"	1201	"N"	"PARK"	"AV"	"2112"	"TUCSON"	"AZ"	85719	NA	"N"	7	-110.9572475	32.2377139
"2011-02-02"	"TINA SWOPE, LMT, LLC"	"2011-01-03"	"SVL"	NA	NA	NA	NA	"LLC"	3600	"S"	"GIOVANNA"	"DR"	NA	"TUCSON"	"AZ"	857303170	5208081542	"N"	30	-110.781028	32.179708
"2011-02-02"	"GINA TAYLOR"	"2011-01-01"	"PLL"	17	99	NA	454390	"SOL"	10377	"E"	"VALLEY QUAIL"	"DR"	NA	"TUCSON"	"AZ"	85747	NA	"N"	32	-110.770759	32.143212
